"msg_id","date","msg_content"
"1001","2022-12-27 20:39:36","Продолжается приём заявок на участие в конкурсе на соискание Премии имени Шарифа Камала.  Получить премию могут авторы и переводчики от 14 до 30 лет, в номинациях «Проза» и «Перевод», в двух возрастных категориях.  📚 Участникам конкурса нужно: прозаикам – отправить на конкурс произведение малой и средней прозы на татарском языке; переводчикам – сделать и отправить на конкурс литературный перевод рассказа Шарифа Камала «Ата» («Отец») на английский, немецкий или турецкий языки.  Приём заявок завершится 10 января, лауреатов премии объявят в феврале 2023 года в рамках декады татарского писателя-классика Шарифа Камала.  Размер премии 50 000 рублей.  Подробнее на специальной странице проекта 📖   🚀 Перешли это сообщение авторам и переводчикам!"
"1055","2023-01-20 19:17:02","GAUGA🔥"
"1070","2023-01-24 11:08:20","Татар китабы йорты проектларына багышланган матбугат конференциясе"
"1099","2023-01-31 19:20:05","Пока татарская интеллигенция XX века ждала открытия Werk, всем приходилось тусить в других местах — кто-то ходил по клубам, кто-то по гостиницам, а Габдрахман Рафиков и Шариф Камал устраивали вечеринки у себя в квартирах 🥳"
"1115","2023-02-03 08:21:04","Приглашаем вас на камерный концерт Казанского  Оркестра национальной музыки!  5 февраля шедевры классической и современной татарской инструментальной музыки прозвучат в Доме татарской книги.  Оркестр под руководством молодого композитора Айдара Ниязова будет не просто играть. Музыканты расскажут об исполняемых произведениях, их истории, будут рады обратной связи. Самые смелые зрители смогут даже подирижировать оркестром 😊  🎻 5 февраля (воскресенье) 18:00  ⚡️Билеты можно приобрести онлайн здесь  ☎️ (843) 590-80-67, (843) 590-80-66  Адрес: Казань, ул. Островского, д. 15"
"1226","2023-03-01 08:03:53","В Казани объявлены лауреаты литературной премии имени Шарифа Камала.   Награждение состоялось 28 февраля в Доме татарской книги - Музее истории татарской литературы с мемориальной квартирой Шарифа Камала,  филиале Национального музея Республики Татарстан.  📚Лауреатами в номинации «Проза» стали Светлана Мухамадиева из Казани и первокурсница ИСФНиМК КФУ Гульназ Ахмадиева.  📚В номинации «Перевод» лучшими признаны переводы Марата Гилметдинова – учителя гимназии из Актаныша, и Ралии Зайнуллиной (Анкарский университет, Турция).  📸 Смотрите фотоальбом события здесь  🎥 Видеорепортаж здесь"
"1260","2023-03-07 13:45:47","Дорогие друзья!  22 и 29 марта 2023 года Литературный музей Г.Тукая  приглашает вас на музейное мероприятие ""Карга боткасы"" (""Грачиная каша""). В программе: тематическая мини-экскурсия, квест по экспозиционным залам (за правильные ответы получаете мешочки с крупой), театрализованное интерактивное представление во дворе музея и угощения (каша, горячий чай).   📌приглашаем школьные группы (1-11 классов),  студентов и семьи с детьми; 📌стоимость с обедом 700 рублей с чел.;  📌начало в 14.00 📌Телефон: +7 843 5908667; +79274406462 📌Купить билеты можно по ссылке:  https://tatmuseum.ru/#event/1871137"
"1290","2023-03-16 16:50:45","Завтра‼️‼️  В 17:00 в Доме татарской книги будет показан фильм про великого танцора 🩰«Рудольф Нуриев. Рудик»   После просмотра состоится обсуждение фильма и биографии при участии писателя Рабита Батуллы !  📍Островского, 15 💸 50-100 рублей"
"1296","2023-03-16 21:16:16","Вы уже запланировали, чем займётесь в ближайшее воскресенье вечером?   Вас ждёт камерный концерт Оркестра национальной музыки в Музее истории татарской литературы с мемориальной квартирой писателя Шарифа Камала — филиале Национального музея Республики Татарстан. В программе концерта как национальная классика, так и творчество современных композиторов.   📆 КОГДА  19 марта (воскресенье)   🕰 ВО СКОЛЬКО?  В 16:30 и 18:00   💰 СТОИМОСТЬ  1000 руб., билеты здесь   ⚡️ Доступно по Пушкинской карте"
"1305","2023-03-20 10:34:46","Совсем скоро начнутся долгожданные весенние каникулы 🥳  Приглашаем школьников, учителей и родителей посетить интересные экскурсии, квесты, мастер-классы в Доме татарской книги 😉  Программы доступны по Пушкинской карте 🎟️.   Телефон для справок: (843) 590-80-67, (843) 590-80-66."
"1323","2023-03-28 03:27:22","Сегодня - всемирный день историка! Приглашаем вас на историческую экскурсию для детей — «Путешествие во Времени»!  На этой экскурсии ребенок сможет окунуться в атмосферу тюрко-татарского Средневековья и окажется в Волжской Булгарии, а затем побудет шакирдом татарской школы XIX века. Испытает себя в роли археолога, научиться делать научные опыты по старинной рукописи. В тоже время дети узнают, как менялись татарские алфавиты на протяжении веков, и как появилось печатное дело. Кульминацией путешествия станет посещение знаменитой квартиры писателя Шарифа Камала, где собирались все видные литераторы своего времени.  Гидом в удивительном путешествии станет старший научный сотрудник музея Нурия Мифтахутдинова.  Длительность экскурсии — 45 минут. Проводятся для групп от 3 до 20 человек и индивидуально для семейного посещения. Билеты можно приобрести на кассе или онлайн.  Режим работы музея: Вторник — среда: с 10:00 до 18:00 Четверг — субота: с 10:00 до 20:00 Воскресенье: с 10:00 до 18:00  Необходима предварительная запись по телефону +7(843) 590-80-67, +7(843) 590-80-66 или в социальных сетях Дома татарской книги."
"1340","2023-03-31 10:23:13","Мы возобновляем ночные экскурсии по Дому татарской книги 🌃  Ночная, а точнее, вечерняя экскурсия проходит немного наоборот: мы покажем вам те помещения исторического здания, недоступные для обычных посетителей, расскажем историю нашей улицы и соседей, обратимся к легендам и малоизвестным фактам о жизни обитателей дома на Островского, 15.  Приходите сегодня в 19:00 🎇. Билеты на кассе или онлайн по ссылке: https://tatmuseum.ru/#event/1410693  P.S. Даты следующих ночных экскурсий можно найти в еженедельных подборках афиши 😉"
"1354","2023-04-07 19:15:27","В этом документальном фильме из серии «Цвет нации» зритель отправится в увлекательное путешествие по татарским сёлам Сибири вместе Вагизом Файзуллиным. Увидит отреставрированные мечети и памятники, увековечившие имена знаменитых жителей этой местности. Побывает на татарском празднике Сабантуй. Узнает больше о татарском языке, его истории и тех, кто всеми силами пытается его сохранить. Да, из сибирских сёл и малых городов уезжает молодежь, но там по-прежнему пульсирует жизнь – благодаря неравнодушным местным жителям.  Об истории татарской письменности и литературы, а также о том, что читают на татарском языке сегодня в фильме рассказывает заведующий филиалом Национального музея Республики Татарстан - музеем истории татарской литературы с мемориальной квартирой Ш.Камала Айдар Шайхин  https://www.youtube.com/watch?v=bf3OBpvBiF8"
"1362","2023-04-12 17:02:37","В Доме татарской книги состоится презентация книги профессора Григория Матушанского «Моя траектория». Это автобиографическая повесть о жизни и профессиональном пути. Непростая и интересная судьба автора не оставит равнодушной и заставит задуматься как людей зрелого возраста, так и молодое поколение читателей.  Детство, юность, любовь, пронесенная через всю жизнь, дети, профессиональная карьера автора — все это будет интересно как тем, чей жизненный путь еще только начинается, так и тем, кто уже умудрен опытом.  Григорий Ушерович Матушанский — кандидат физико-математических наук, доктор педагогических наук, почетный работник высшего профессионального образования Российской Федерации, обладатель Медали К.Д. Ушинского за заслуги в области образования, Заслуженный профессор Казанского государственного энергетического университета, судья республиканской категории по баскетболу.  📆 15 апреля, 16:00 🎫 Вход свободный"
"1372","2023-04-14 17:46:17","В этом году Дом татарской книги присоединяется к всероссийской акции, посвященной защите памятников и исторических мест. Волонтеров приглашают на субботник и тематическую экскурсию с интеллектуальной игрой.  Здание Дома татарской книги построено в XIX веке и является объектом культурного наследия. В список таких объектов оно было включено как исторически важное место – дом, в котором проживал классик татарской литературы Шариф Камал. Впрочем, интересны и другие жители этого дома – до революции это купцы Подуруевы, Санины, Журавлевы, Ивановы, а в 1925 – 1940 годах здесь жил педагог Нургали Надеев. Дом был значительно перестроен в 1908 году, а последнюю масштабную реконструкцию прошел в 2016 – 2019 годах.  Субботник в рамках всероссийской акции состоится в Доме татарской книги в воскресенье, 16 апреля. После плодотворной работы всех волонтеров приглашают на обзорную экскурсию и интеллектуальную игру “Абугалисина”. Также всех добровольцов ожидают памятные подарки от музея.  Начало субботника в 11:00. Регистрация по ссылке: yort.tatar/registration (а если вы есть на платформе Добро.ру — https://dobro.ru/event/10365526)"
"1408","2023-04-18 21:31:40","Мы возобновляем ночные экскурсии по Дому татарской книги 🌃  Ночная, а точнее, вечерняя экскурсия проходит немного наоборот: мы покажем вам те помещения исторического здания, недоступные для обычных посетителей, расскажем историю нашей улицы и соседей, обратимся к легендам и малоизвестным фактам о жизни обитателей дома на Островского, 15.   На экскурсии вы узнаете: 🎇 где Муса Джалиль оставил (или не оставил?) свои рукописи; 🎇 почему Салиху Сайдашеву не нравилась пепельница Шарифа Камала; 🎇 на какое зеркало смотрел масонский писатель-революционер; 🎇 где хранится личная библиотека Кави Наджми и многое другое.  Следующая экскурсия состоится 21 апреля в 19:00.  Билеты на кассе или онлайн по ссылке: https://tatmuseum.ru/#event/1410693"
"1460","2023-04-30 21:09:43","🏛 Музей Шарифа Камала – первый музей в республике, посвященный татарскому писателю. Решение о его создании приняли еще в 1944 году, но официально он начал принимать посетителей с 1950 года.  Музей открыли в купеческом особняке XIX века, в квартире, где жил Шариф Камал.  В 2019 году здание открыли после тщательной реконструкции и реставрации, а учреждение стало Домом татарской книги.  Фото: Андрей Артис  @nashtatarstan_official"
"1479","2023-05-06 19:03:50","Заседание книжного клуба «Логос» 📖"
"1489","2023-05-11 14:04:34","Завтра, 12 мая, в 19.00 играю акустический концерт в Доме татарской книги.  По входному билету в музей (0-75-150р).  Будут совсем старые, не очень старые, свежие и очень новые песни."
"1553","2023-06-06 08:15:19","Сегодня знаменательный день для всех, кому дорог русский язык и мир русской литературы. Ежегодно 6 июня в России отмечается Пушкинский день, известный также как День русского языка.  Александра Пушкина часто называют основоположником современного русского литературного языка. Сколь ни трудны бы были его произведения для перевода, поэт имеет своих почитателей почти во всех уголках планеты.  Многие произведения Пушкина были переведены на татарский язык. Причем история татарских переводов Пушкина начинается аж с XIX века. Гений русский литературы вдохновлял и татарских поэтов - Дэрдменд, Габдулла Тукай, Сагит Рамиев и многие другие представители национальной поэзии рубежа веков читали и переводили Пушкина. А самые последние переводы стихотворений Пушкина были изданы в Татарском книжном издательстве пару лет назад.  Поздравляем всех с Днем рождения Пушкина и с Днем русского языка!"
"1560","2023-06-15 20:51:03","на следующей неделе встречаемся обсуждать произведения Михаила Афанасьевича :)  📗 пьеса «Бег» — это 8 сцен, которые автор назвал снами, в каждом из которых герои-эмигранты переживают глубокий душевный кризис  📙 а про «Собачье сердце» вы сами все знаете (:    📍Дом Татарской книги на Островского, 15  🕰 24 июня в 17:00 🪙 150₽ на чай-печеньки  #логос"
"1585","2023-06-30 16:45:45","уже завтра будем обсуждать психологию преступлений 🔫  послушаем небольшую лекцию, обзор мифов и чуть про типажи преступников в литературе :)    📍Дом Татарской книги на Островского, 15  🕰 1 июля мая в 17:00 🪙 150₽ на чай-печеньки  #логос"
"1586","2023-07-01 19:48:42","«Тылсымлы уку» очрашуы 🦉"
"1596","2023-07-08 13:01:58","Поздравляем  вас с Днём семьи, любви и верности!  Родственные связи, любовь к детям, почёт к старшим – это то, что живёт в сердце каждого из нас, помогает справляться с трудностями и преумножать радости.  Семья — это наш самый надежный и близкий круг. Она дает нам поддержку, любовь и понимание. Семья помогает нам преодолевать трудности, радоваться успехам и просто быть счастливыми. Семья — это не только близкие люди, это еще и любовь. Любовь — это то, что делает нашу жизнь ярче и интереснее. Верность — это качество, которое помогает нам сохранять наши отношения и нашу семью на долгие годы.  Пусть ваша семья будет крепкой и надежной, а любовь и верность будут вашими верными спутниками в жизни. Счастья вам, здоровья и благополучия!  📷 Описания фото из собраний Национального музея Татарстана, как и обычно - в комментариях"
"1612","2023-07-17 09:05:40","🗣 «Чердачные истории» в Доме татарской книги  В какие же суеверия верят татары? Какие мистические существа живут в их домах, и как с ними бороться?  Ответы на эти вопросы вы сможете узнать на нашем квесте!  Дом татарской книги приглашает вас на увлекательный «чердачный» квест, где вы сможете не только узнать о многовековых повериях татар, но и получить незабываемые эмоции от атмосферы музея! Во время квеста вы посетите главные залы музея, раскроете много тайн татарской мифологии и многое другое!   Вечер проводится совместно с Кафедрой религиоведения КФУ.  Для взрослых и детей старше 14 лет  ⏺ 19 июля, 18:00 🎟 200 руб./чел. (возможна оплата Пушкинской картой) 🏰 Казань, Островского, 15 ☎ Запись по ссылке: https://forms.yandex.ru/u/64b4d80e2530c2d4527c7856/"
"1614","2023-07-17 19:49:05","наша следующая встреча :)  обсудим детектив ""Клуб убийств по четвергам"" известного автора Ричарда Османа  «О бойких старичках и старушках, которые живут в элитном посёлке для престарелых и завели свой клуб, в котором рассматривали старые нераскрытые убийства. И, разумеется, в их тихом местечке происходит настоящее убийство»   📍Дом Татарской книги на Островского, 15  🕰 21 июля, пятница, в 17:00 🪙 150₽ на чай-печеньки  #логос"
"1616","2023-07-22 10:45:22","В нашем Доме проходят встречи книжного клуба «Логос». Ребята обсуждают интересные книги, общаются в атмосферной локации и даже устраивают небольшие гитарники 😊.   Присоединяйтесь к ним в Телеграм-канале!"
"1625","2023-07-25 18:28:22","Чердачные истории продолжаются! Но пока в легком формате...  Друзья, в эту среду приглашаем вас на очередные «Чердачные истории» в Доме татарской книги. Здесь вы узнаете о татарских поверьях и суевериях, познакомитесь с основами татарской мифологии. Встреча будет проходить не только в музейных залах, ведь после небольшой экскурсии вечер продолжится на чердаке старинного дома.  Обязательна регистрация: https://forms.yandex.ru/u/64bfa79050569090aacee798/  📅 26 июля, 17:00. 🏛 Казань, Островского, 15. 🎟 200 рублей + входной билет (0-75-150 руб.)."
"1646","2023-08-02 13:25:20","В эту субботу на собрании книжного клуба ""Логос"" будет обсуждаться  произведение братьев Стругацких «Улитка на склоне» 🐌   Это необычный и содержательный роман о настоящем и будущем, который многие считают вершиной мастерства Аркадия и Бориса Стругацких.  «Всё равно вы никогда не поймёте, что думать — это не развлечение, а обязанность...»  📍Дом татарской книги на Островского, 15 🕰️ 05.08 в 17:00 🪙 взнос 300₽ на чай-печеньки и работу клуба     https://t.me/Logos_Club"
"1657","2023-08-07 19:25:06","👀 Иногда они возвращаются: мы продолжаем рассказывать «Чердачные истории!» 👀  Поверья татар, таинственные существа из татарской мифологии и демонологии, мистические рассказы и даже волшебные артефакты — обо всем этом вы можете узнать и испытать себя на прочность в новом музейном квесте «Чердачные истории».  📅 9 августа, 18:00 🎫 Билеты по ссылке или на кассе музея  12+"
"1659","2023-08-08 17:34:38","♦️18.08 в 18:00 в Доме татарской книги состоится концерт-лекция с подлинной тюркской музыкой.  💥Проект «Музыка предков» — это интригующий рассказ об истории музыкальных инструментов и возможность услышать звучание тюркских степей, мелодии из ханских дворцов и суфийских обителей-текке.  💥Во второй, дополнительной части мероприятия состоится мастер-класс по игре на курае. Каждый сможет научиться азам древнего мастерства.  👤Лектор:  Айдар Абдрахимов — музыкант мультиинструменталист, играющий на 46 инструментах.  💰350 р  💰700 р (Билет с мастер-классом)   🎫 https://kamala.tatmuseum.ru/#event/2018796  📍Островского, 15"
"1685","2023-08-15 11:08:41","✨Сегодня в Доме татарской книги пройдет первый мастер-класс для начинающих музыкантов по написанию музыки в приложении Ableton Live.   Для работы в приложении нужны будут ваши личные ноутбуки!  Сегодня мы: ♦️Установим приложение на ваши ноутбуки  ♦️Разберем интерфейс программы ♦️Поговорим о том, почему начинать писать музыку самостоятельно это легко!   👤Автор: Рустам Адиуллин  🎫 Билетлар  📅 15 август 16:00 📍Островский, 15"
"1688","2023-08-16 11:26:56","✨Сегодня в 18:00 приглашаем вас на «Чердачные истории» в Доме татарской книги.   Здесь вы узнаете о поверьях и суевериях татар, познакомитесь с основами татарской мифологии.   Встреча будет проходить не только в музейных залах, но и на чердаке старинного дома.  📅 16 августа, 18:00 🎫 Билеты по ссылке или на кассе музея  Доступно по Пушкинской карте!"
"1693","2023-08-17 19:39:36","в эту субботу мы обсуждаем  ""Анну Каренину""  «... если любишь, то любишь всего человека, какой он есть, а не каким я хочу, чтоб он был»  📍Дом татарской книги на Островского, 15 🕰 17:00, в субботу, 19.08 🪙 300₽ на чай-печеньки и работу клуба  ссылка для регистрации вот тут :)  #афиша"
"1727","2023-08-30 13:01:35","✨А если вы не знаете где купить книги на татарском языке, то приходите в наш книжный магазин на Островского 15!"
"1728","2023-08-30 18:03:08","✨«Чердачные истории» в Доме татарской книги Дом татарской книги приглашает вас на увлекательный «чердачный» квест, где вы сможете не только узнать о многовековых повериях татар, но и окунуться в литературную атмосферу музея! Во время квеста вы посетите главные залы музея,  и раскроете тайны татарской мифологии!  Мероприятие пройдет: 📅1 сентября в 18:00 📅2 сентября в 17:00  🎫Билеты  📍Островский, 15  12+"
"1729","2023-08-31 12:13:45","Умай — особо высокочтимое земное женское божество, доброжелательный дух, покровительница детей и рожениц. Перед родами, охраняя роженицу и младенца, Умай располагалась у входа на левой стороне юрты, считавшейся чистой.  Об этом и многих других персонажах татарской мифологии вы сможете узнать на наших ""Чердачных историях""!  📅1 сентября в 18:00 📅2 сентября в 17:00  🎫Билеты  📍Островский, 15  12+"
"1737","2023-09-02 14:10:15","✨Сегодня в 17:00 ждем вас в нашем музее на квест по мифам и суевериям татар!  🎫Доступно по Пушкинской карте!"
"1757","2023-09-08 14:19:55","Ждем вас сегодня на ""Чердачных историях"" в 17:30!  На квесте мы узнаем: ♦️Об истории формирования татарских суеверий ♦️О поверьях татар, которые сопровождали их в быту ♦️О роли мифических существ в татарской культуре  🎫Билеты  📍Островского, 15  12+"
"1811","2023-09-28 19:02:34","а в эту пятницу, как вы конечно же помните, мы собираемся на круглый стол 🙌🏻  ссылка для регистрации   предполагается отличная дискуссия, всем любителям слушать и высказываться — быть! :)   29.09, 18:30 Дом татарской книги на Островского 15 300₽ на чай, печеньки и аргументацию  #афиша"
"1834","2023-10-05 16:02:35","Вы занимаете активную жизненную позицию? Откройте для себя мир волонтерства!  🌟 ПРИСОЕДИНЯЙТЕСЬ К ДОБРОВОЛЬЧЕСКОМУ ДВИЖЕНИЮ ""ВОЛОНТЕРЫ КУЛЬТУРЫ"" !  В команде единомышленников можно участвовать в жизни учреждений культуры, в акциях, праздниках, фестивалях, выставках, конференциях, театрализованных и анимационных программах, в поисковых работах, в сохранении объектов культурного наследия.  ⚡ Чтобы стать волонтером культуры, регистрируйтесь на сайте ДОБРО.РУ"
"1842","2023-10-10 14:02:55","🎶13 октября в 19:00 в Доме татарской книги состоится Камерный концерт памяти Шамиля Шарифуллина, выдающегося татарского композитора, лауреата премии Союза композиторов РФ. Концерт пройдет с участием Оркестра национальной музыки под управлением Айдара Ниязова.   ♦️Музыкальная часть начнется с прослушивания записи произведений Шамиля Шарифуллина и продолжится исполнением работ  Ильгама Ильгизовича Байтиряка — ученика Шарифуллина. Кроме того, будут исполнены работы  Айдара Ниязова — руководителя Оркестра национальной музыки.  Специальный гость — Гузель Абульханова, дочь Шамиля Шарифуллина  🎫Билеты:  350 р  Доступно по пушкинской карте   📍Казань, улица Островского, 15"
"1843","2023-10-10 18:31:45","✨17.10 в 18:30 в Доме татарской книги состоится концерт-лекция  о тюркских народных музыкальных инструментах.   ♦️Проект «Музыка предков» — это захватывающая лекция об истории музыкальных инструментов, возможность услышать звучание тюркских степей, мелодии из ханских дворцов и суфийских обителей-текке.  Участники лекции узнают о происхождении тюркских музыкальных инструментов и насладятся игрой музыкантов во время лекции.   👤Лекторы:  Айдар Абдрахимов — музыкант мультиинструменталист Ильяс Фархуллин — музыкант мультиинструменталист  💰Билеты: 400 р  Доступно по Пушкинской карте"
"1847","2023-10-13 19:09:35","Озакламый башлыйбыз!"
"1857","2023-10-17 09:19:21","💬  Уже завтра начинаем цикл лекций о средневековой поэме «Кысса-и Йусуф». Первая встреча посвящена теме Иосифа Прекрасного в Библии.  📍Вы узнаете об истории самих библейских текстов, познакомитесь со сведениями о Иосифе в Ветхом Завете, а также увидите, как эта история нашла отображение в мировом искусстве. И самое главное, вы найдете ответ на вопрос: что связывает татарскую литературу со Священным Писанием иудеев и христиан?  🗣Лектор — Юлия Матушанская, доктор философских наук, профессор кафедры религиоведения КФУ.  📅 18 октября, 18:00 💳  По входным билетам в музей"
"1859","2023-10-17 13:06:39","Сегодня в Доме татарской книги пройдет концерт-лекция, посвященная тюркским инструментам. Музыканты Айдар Абдрахимов и Ильяс Фархуллин расскажут о происхождении домбры, саза, уды, мандолины, семиструнки, тальянки, фортепиано и курая.  Начало — в 18:30. Билеты стоят 400 рублей  https://inde.io/news/78864-v-dome-tatarskoy-knigi-proydet-kontsert-i-lektsiya-o-tyurkskih-narodnyh-muzykalnyh-instrumentah?utm_source=telegram  @indekazancity"
"1865","2023-10-18 18:13:11","Сегодня в музее лекция о Иосифе Прекрасном от доктора философских наук, профессора кафедры религиоведения КФУ Юлии Матушанской."
"1877","2023-10-24 09:29:48","В доме Татарской книги откроется выставка «QR-код по-татарски» с тамгами ханов Золотой Орды и Казанского ханства  В эту среду, 25 октября в доме татарской книги открывается выставка «QR-код по-татарски». Широкой публике будут впервые представлены личные печати ханов Золотой Орды, Казани, Крыма и государства Ильханидов с их расшифровками.   Исследователь Рамиль Насыбуллов в течение нескольких лет занимался расшифровкой личных печатей ханов татарских государств с китайского и арабского языков. Оттиски взяты с реальных ярлыков, которые дошли до нашего времени. Проект реализован совместно с редакцией «Миллиард.Татар».   В рамках выставки пройдет мастер-класс по каллиграфии. Мастер напишет имя человека в формате ордынских ханских печатей (тамг) и поставить красную печать как на ордынских грамотах.  В презентации примут участие ученые из Института истории им. Марджани Академии наук РТ, каллиграфы и любители истории.  25 октября, 15:00, Дом татарской книги (г. Казань, Островского 15)"
